DATE,FIGHTER,model_prob,avg_odds_calculated,win,profit
2024-10-12,Chidi Njokuani,0.7476204,-144.25,1,0.6932409012131716
2024-10-12,Jonathan Pearce,0.73267394,-184.75,0,-1.0
2024-10-12,JunYong Park,0.8009333,-199.5,1,0.5012531328320802
2024-10-19,Darren Elkins,0.81085134,-117.75,1,0.8492569002123143
2024-10-19,Michel Pereira,0.68503237,122.25,0,-1.0
2024-10-26,Robert Whittaker,0.65801656,193.75,0,-1.0
2024-10-26,Ismail Naurdiev,0.7199598,-173.5,1,0.5763688760806917
2024-10-26,Brunno Ferreira,0.82476467,127.0,0,-1.0
2024-10-26,Armen Petrosyan,0.5846322,145.66666666666666,0,-1.0
2024-11-02,Dustin Stoltzfus,0.59963936,196.0,1,1.96
2024-11-02,Brandon Moreno,0.73323315,-176.25,1,0.5673758865248227
2024-11-02,Caio Machado,0.5994644,-159.75,0,-1.0
2024-11-02,Victor Henry,0.6313591,112.5,0,-1.0
2024-11-09,Antonio Trocoli,0.7785891,148.75,0,-1.0
2024-11-16,Jonathan Martinez,0.6481331,111.0,0,-1.0
2024-11-16,Marcin Tybura,0.5208594,-115.0,1,0.8695652173913043
2024-11-16,Ramiz Brahimaj,0.76675916,147.0,1,1.47
2024-11-23,Nikolas Motta,0.7922987,158.75,1,1.5875
2024-12-07,Joshua Van,0.78905225,-179.0,1,0.5586592178770949
2024-12-07,Vicente Luque,0.7617826,129.75,1,1.2975
2024-12-07,Randy Brown,0.77021325,163.75,0,-1.0
2024-12-14,Cub Swanson,0.54266125,132.75,1,1.3275
2024-12-14,Colby Covington,0.6055723,188.75,0,-1.0
2024-12-14,Sean Woodson,0.6010365,-150.25,1,0.6655574043261231
2025-01-11,Trey Ogden,0.62129813,142.75,0,-1.0
2025-01-11,Santiago Ponzinibbio,0.66814005,-141.25,1,0.7079646017699115
2025-01-11,Jose Johnson,0.5824499,-186.5,0,-1.0
2025-01-18,Ricky Turcios,0.61102843,187.75,0,-1.0
2025-01-18,Kevin Holland,0.5938671,110.5,0,-1.0
2025-01-18,Jiri Prochazka,0.8350484,-2.0,1,50.0
2025-02-01,Israel Adesanya,0.70137125,-160.25,0,-1.0
2025-02-01,Michael Page,0.68299806,160.33333333333334,1,1.6033333333333335
2025-02-01,Fares Ziam,0.7991598,120.75,1,1.2075
2025-02-01,Said Nurmagomedov,0.68895626,-163.33333333333334,0,-1.0
2025-02-08,Sean Strickland,0.6177325,176.25,0,-1.0
2025-02-08,Tom Nolan,0.7705833,-52.5,1,1.9047619047619047
2025-02-08,Jack Jenkins,0.7393388,188.75,0,-1.0
2025-02-22,Rob Font,0.50746775,130.5,1,1.305
2025-02-22,Ibo Aslan,0.65427125,-182.25,0,-1.0
2025-02-22,Melquizael Costa,0.7770628,-131.0,1,0.7633587786259542
2025-03-01,Charles Johnson,0.6835588,-130.5,0,-1.0
2025-03-01,Nasrat Haqparast,0.5265384,197.5,1,1.975
2025-03-01,Cody Brundage,0.7473261,-116.0,1,0.8620689655172413
2025-03-08,Magomed Ankalaev,0.81359154,101.25,1,1.0125
2025-03-08,Armen Petrosyan,0.63955784,-136.0,0,-1.0
2025-03-08,Jalin Turner,0.57474154,115.0,0,-1.0
2025-03-08,Joshua Van,0.8085501,-159.75,1,0.6259780907668232
2025-03-08,Justin Gaethje,0.78571445,126.0,1,1.26
2025-03-15,Roman Dolidze,0.77049553,126.5,1,1.265
2025-03-15,Waldo Cortes-Acosta,0.80512685,-184.25,1,0.5427408412483039
2025-03-22,Marcin Tybura,0.57065547,110.66666666666669,1,1.106666666666667
2025-03-22,Kevin Holland,0.56768364,0.75,1,0.0075
2025-03-22,Nathan Fletcher,0.64766586,-131.25,0,-1.0
2025-03-22,Chris Padilla,0.78505385,-108.5,1,0.9216589861751152
2025-03-22,Leon Edwards,0.8196718,131.0,0,-1.0
2025-03-22,Nathaniel Wood,0.591443,116.25,1,1.1625
2025-03-29,Manuel Torres,0.8073504,-127.25,1,0.7858546168958742
2025-03-29,Melquizael Costa,0.51979464,138.75,1,1.3875
2025-03-29,MarQuel Mederos,0.67056763,-162.75,1,0.6144393241167435
2025-03-29,Ronaldo Rodriguez,0.53010297,-151.5,0,-1.0
2025-04-05,ChangHo Lee,0.6918994,-150.0,1,0.6666666666666666
2025-04-05,Joanderson Brito,0.7546543,-197.33333333333331,0,-1.0
2025-04-12,Sean Woodson,0.77873665,-197.33333333333331,0,-1.0
