EVENT,BOUT,jfighter,FIGHTER,DATE,win,predicted_prob,odds
UFC 93: Franklin vs Henderson,Rousimar Palhares vs. Jeremy Horn,RousimarPalhares,Rousimar Palhares,2009-01-17,1,0.6387922,1.57
UFC 93: Franklin vs Henderson,Rousimar Palhares vs. Jeremy Horn,JeremyHorn,Jeremy Horn,2009-01-17,0,0.3709109,2.7
UFC 93: Franklin vs Henderson,Mauricio Rua vs. Mark Coleman,MauricioRua,Mauricio Rua,2009-01-17,1,0.63810885,1.57
UFC 93: Franklin vs Henderson,Mauricio Rua vs. Mark Coleman,MarkColeman,Mark Coleman,2009-01-17,0,0.44917205,2.23
UFC 93: Franklin vs Henderson,Marcus Davis vs. Chris Lytle,MarcusDavis,Marcus Davis,2009-01-17,1,0.4886758,2.05
UFC 93: Franklin vs Henderson,Marcus Davis vs. Chris Lytle,ChrisLytle,Chris Lytle,2009-01-17,0,0.4647568,2.15
UFC 93: Franklin vs Henderson,Eric Schafer vs. Antonio Mendes,EricSchafer,Eric Schafer,2009-01-17,1,0.7994198,1.25
UFC 93: Franklin vs Henderson,Eric Schafer vs. Antonio Mendes,AntonioMendes,Antonio Mendes,2009-01-17,0,0.48007283,2.08
UFC 93: Franklin vs Henderson,Dan Henderson vs. Rich Franklin,DanHenderson,Dan Henderson,2009-01-17,1,0.5015861,1.99
UFC 93: Franklin vs Henderson,Dan Henderson vs. Rich Franklin,RichFranklin,Rich Franklin,2009-01-17,0,0.598929,1.67
UFC 93: Franklin vs Henderson,Dennis Siver vs. Nate Mohr,DennisSiver,Dennis Siver,2009-01-17,1,0.36632603,2.73
UFC 93: Franklin vs Henderson,Dennis Siver vs. Nate Mohr,NateMohr,Nate Mohr,2009-01-17,0,0.567874,1.76
UFC 94: St-Pierre vs Penn 2,Jake O'Brien vs. Christian Wellisch,JakeO'Brien,Jake O'Brien,2009-01-31,1,0.7124078,1.4
UFC 94: St-Pierre vs Penn 2,Jake O'Brien vs. Christian Wellisch,ChristianWellisch,Christian Wellisch,2009-01-31,0,0.28027618,3.57
UFC 94: St-Pierre vs Penn 2,Georges St-Pierre vs. BJ Penn,GeorgesSt-Pierre,Georges St-Pierre,2009-01-31,1,0.64190185,1.56
UFC 94: St-Pierre vs Penn 2,Georges St-Pierre vs. BJ Penn,BJPenn,BJ Penn,2009-01-31,0,0.22064033,4.53
UFC 94: St-Pierre vs Penn 2,Jon Fitch vs. Akihiro Gono,JonFitch,Jon Fitch,2009-01-31,1,0.8179757,1.22
UFC 94: St-Pierre vs Penn 2,Jon Fitch vs. Akihiro Gono,AkihiroGono,Akihiro Gono,2009-01-31,0,0.20602946,4.85
UFC 94: St-Pierre vs Penn 2,Thiago Tavares vs. Manvel Gamburyan,ThiagoTavares,Thiago Tavares,2009-01-31,1,0.66854817,1.5
UFC 94: St-Pierre vs Penn 2,Thiago Tavares vs. Manvel Gamburyan,ManvelGamburyan,Manvel Gamburyan,2009-01-31,0,0.5339794,1.87
UFC 94: St-Pierre vs Penn 2,Clay Guida vs. Nate Diaz,ClayGuida,Clay Guida,2009-01-31,1,0.7134689,1.4
UFC 94: St-Pierre vs Penn 2,Clay Guida vs. Nate Diaz,NateDiaz,Nate Diaz,2009-01-31,0,0.3415292,2.93
UFC 94: St-Pierre vs Penn 2,Lyoto Machida vs. Thiago Silva,LyotoMachida,Lyoto Machida,2009-01-31,1,0.4889003,2.05
UFC 94: St-Pierre vs Penn 2,Lyoto Machida vs. Thiago Silva,ThiagoSilva,Thiago Silva,2009-01-31,0,0.3929787,2.54
UFC 94: St-Pierre vs Penn 2,Jon Jones vs. Stephan Bonnar,JonJones,Jon Jones,2009-01-31,1,0.78884774,1.27
UFC 94: St-Pierre vs Penn 2,Jon Jones vs. Stephan Bonnar,StephanBonnar,Stephan Bonnar,2009-01-31,0,0.13896482,7.2
UFC Fight Night: Lauzon vs Stephens,Anthony Johnson vs. Luigi Fioravanti,AnthonyJohnson,Anthony Johnson,2009-02-07,1,0.7242173,1.38
UFC Fight Night: Lauzon vs Stephens,Anthony Johnson vs. Luigi Fioravanti,LuigiFioravanti,Luigi Fioravanti,2009-02-07,0,0.23078464,4.33
UFC Fight Night: Lauzon vs Stephens,Joe Lauzon vs. Jeremy Stephens,JoeLauzon,Joe Lauzon,2009-02-07,1,0.40852022,2.45
UFC Fight Night: Lauzon vs Stephens,Joe Lauzon vs. Jeremy Stephens,JeremyStephens,Jeremy Stephens,2009-02-07,0,0.4707553,2.12
UFC Fight Night: Lauzon vs Stephens,Kurt Pellegrino vs. Rob Emerson,KurtPellegrino,Kurt Pellegrino,2009-02-07,1,0.5491493,1.82
UFC Fight Night: Lauzon vs Stephens,Kurt Pellegrino vs. Rob Emerson,RobEmerson,Rob Emerson,2009-02-07,0,0.40551868,2.47
UFC Fight Night: Lauzon vs Stephens,Josh Neer vs. Mac Danzig,JoshNeer,Josh Neer,2009-02-07,1,0.4673124,2.14
UFC Fight Night: Lauzon vs Stephens,Josh Neer vs. Mac Danzig,MacDanzig,Mac Danzig,2009-02-07,0,0.45220768,2.21
UFC Fight Night: Lauzon vs Stephens,Matthew Riddle vs. Steve Bruno,MatthewRiddle,Matthew Riddle,2009-02-07,1,0.8286841,1.21
UFC Fight Night: Lauzon vs Stephens,Matthew Riddle vs. Steve Bruno,SteveBruno,Steve Bruno,2009-02-07,0,0.4055959,2.47
UFC Fight Night: Lauzon vs Stephens,Gleison Tibau vs. Rich Clementi,GleisonTibau,Gleison Tibau,2009-02-07,1,0.6922197,1.44
UFC Fight Night: Lauzon vs Stephens,Gleison Tibau vs. Rich Clementi,RichClementi,Rich Clementi,2009-02-07,0,0.37659037,2.66
UFC 95: Sanchez vs Stevenson,Dan Hardy vs. Rory Markham,DanHardy,Dan Hardy,2009-02-21,1,0.55398935,1.81
UFC 95: Sanchez vs Stevenson,Dan Hardy vs. Rory Markham,RoryMarkham,Rory Markham,2009-02-21,0,0.34963745,2.86
UFC 95: Sanchez vs Stevenson,Diego Sanchez vs. Joe Stevenson,DiegoSanchez,Diego Sanchez,2009-02-21,1,0.56222296,1.78
UFC 95: Sanchez vs Stevenson,Diego Sanchez vs. Joe Stevenson,JoeStevenson,Joe Stevenson,2009-02-21,0,0.39632872,2.52
UFC 95: Sanchez vs Stevenson,Paul Kelly vs. Troy Mandaloniz,PaulKelly,Paul Kelly,2009-02-21,1,0.6508482,1.54
UFC 95: Sanchez vs Stevenson,Paul Kelly vs. Troy Mandaloniz,TroyMandaloniz,Troy Mandaloniz,2009-02-21,0,0.33822072,2.96
UFC 95: Sanchez vs Stevenson,Demian Maia vs. Chael Sonnen,DemianMaia,Demian Maia,2009-02-21,1,0.5270979,1.9
UFC 95: Sanchez vs Stevenson,Demian Maia vs. Chael Sonnen,ChaelSonnen,Chael Sonnen,2009-02-21,0,0.28077748,3.56
