DATE,jevent,jbout,f1,f2,winner,loser,method,f1_win,weightindex,finish_round
1994-03-11,UFC2:NoWayOut,JasonDeLuciavs.ScottBaker,JasonDeLucia,ScottBaker,JasonDeLucia,ScottBaker,sub,1,0,1
1994-03-11,UFC2:NoWayOut,JohnnyRhodesvs.DavidLevicki,DavidLevicki,JohnnyRhodes,JohnnyRhodes,DavidLevicki,ko,0,0,1
1994-03-11,UFC2:NoWayOut,JohnnyRhodesvs.FredEttish,FredEttish,JohnnyRhodes,JohnnyRhodes,FredEttish,sub,0,0,1
1994-03-11,UFC2:NoWayOut,OrlandoWietvs.RobertLucarelli,OrlandoWiet,RobertLucarelli,OrlandoWiet,RobertLucarelli,ko,1,0,1
1994-03-11,UFC2:NoWayOut,PatrickSmithvs.JohnnyRhodes,JohnnyRhodes,PatrickSmith,PatrickSmith,JohnnyRhodes,sub,0,0,1
1994-03-11,UFC2:NoWayOut,PatrickSmithvs.RayWizard,PatrickSmith,RayWizard,PatrickSmith,RayWizard,sub,1,0,1
1994-03-11,UFC2:NoWayOut,PatrickSmithvs.ScottMorris,PatrickSmith,ScottMorris,PatrickSmith,ScottMorris,ko,1,0,1
1994-03-11,UFC2:NoWayOut,RemcoPardoelvs.AlbertaCerraLeon,AlbertaCerraLeon,RemcoPardoel,RemcoPardoel,AlbertaCerraLeon,sub,0,0,1
1994-03-11,UFC2:NoWayOut,RemcoPardoelvs.OrlandoWiet,OrlandoWiet,RemcoPardoel,RemcoPardoel,OrlandoWiet,ko,0,0,1
1994-03-11,UFC2:NoWayOut,RoyceGracievs.JasonDeLucia,JasonDeLucia,RoyceGracie,RoyceGracie,JasonDeLucia,sub,0,0,1
1994-03-11,UFC2:NoWayOut,RoyceGracievs.MinokiIchihara,MinokiIchihara,RoyceGracie,RoyceGracie,MinokiIchihara,sub,0,0,1
1994-03-11,UFC2:NoWayOut,RoyceGracievs.PatrickSmith,PatrickSmith,RoyceGracie,RoyceGracie,PatrickSmith,ko,0,0,1
1994-03-11,UFC2:NoWayOut,RoyceGracievs.RemcoPardoel,RemcoPardoel,RoyceGracie,RoyceGracie,RemcoPardoel,sub,0,0,1
1994-03-11,UFC2:NoWayOut,ScottMorrisvs.SeanDaugherty,ScottMorris,SeanDaugherty,ScottMorris,SeanDaugherty,sub,1,0,1
1994-03-11,UFC2:NoWayOut,FrankHamakervs.ThaddeusLuster,FrankHamaker,ThaddeusLuster,FrankHamaker,ThaddeusLuster,sub,1,0,1
1994-09-09,UFC3:TheAmericanDream,HaroldHowardvs.RolandPayne,HaroldHoward,RolandPayne,HaroldHoward,RolandPayne,ko,1,0,1
1994-09-09,UFC3:TheAmericanDream,KeithHackneyvs.EmmanuelYarborough,EmmanuelYarborough,KeithHackney,KeithHackney,EmmanuelYarborough,ko,0,0,1
