W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,event,event_url,scrape_date
win,Brandon Moreno  Steve Erceg,0  0,89  116,1  0,0  0,Flyweight,U-DEC,5,5:00,,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-06-15 11:53:36.655671
win,Manuel Torres  Drew Dober,1  0,23  3,0  0,0  0,Lightweight,KO/TKO  Punches,1,1:45,,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-06-15 11:53:36.655671
win,Edgar Chairez  CJ Vergara,0  0,8  6,0  0,1  0,Flyweight,SUB  Rear Naked Choke,1,2:30,,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-06-15 11:53:36.655671
win,Raul Rosas Jr.  Vince Morales,0  0,20  17,4  1,0  2,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-06-15 11:53:36.655671
win,David Martinez  Saimon Oliveira,1  0,27  7,0  0,0  0,Bantamweight,KO/TKO  Knee,1,4:38,,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-06-15 11:53:36.655671
win,Kevin Borjas  Ronaldo Rodriguez,1  0,83  64,0  1,0  0,Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-06-15 11:53:36.655671
win,Ateba Gautier  Jose Daniel Medina,1  0,28  17,0  0,0  0,Middleweight,KO/TKO  Knee,1,3:32,,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-06-15 11:53:36.655671
win,Melquizael Costa  Christian Rodriguez,0  0,65  64,1  6,1  1,Featherweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-06-15 11:53:36.655671
win,Loopy Godinez  Julia Polastri,0  0,84  87,5  0,0  0,Women's Strawweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-06-15 11:53:36.655671
win,Rafa Garcia  Vinc Pichel,0  0,64  79,2  0,0  0,Lightweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-06-15 11:53:36.655671
win,Jamall Emmers  Gabriel Miranda,2  0,33  18,0  2,0  1,Featherweight,KO/TKO  Punch,1,4:06,,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-06-15 11:53:36.655671
win,MarQuel Mederos  Austin Hubbard,0  0,44  26,0  2,0  1,Lightweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-06-15 11:53:36.655671
win,Sean Brady  Leon Edwards,0  0,57  23,5  0,1  0,Welterweight,SUB  Guillotine Choke,4,1:39,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Carlos Ulberg  Jan Blachowicz,0  0,75  59,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Kevin Holland  Gunnar Nelson,1  0,55  15,0  3,0  1,Welterweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Alexia Thainara  Molly McCann,0  0,11  9,1  0,2  0,Women's Strawweight,SUB  Rear Naked Choke,1,4:32,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Chris Duncan  Jordan Vucenic,1  0,15  16,4  1,1  0,Lightweight,SUB  Guillotine Choke,2,3:42,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Nathaniel Wood  Morgan Charriere,1  0,72  42,0  1,1  0,Featherweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Chris Padilla  Jai Herbert,0  0,39  38,0  0,0  0,Lightweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Lone'er Kavanagh  Felipe dos Santos,0  0,58  51,4  0,0  1,Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Marcin Tybura  Mick Parkin,0  0,61  60,1  1,0  0,Heavyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Christian Leroy Duncan  Andrey Pulyaev,0  0,73  18,0  0,0  0,Middleweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Shauna Bannon  Puja Tomar,0  1,52  36,0  0,2  0,Women's Strawweight,SUB  Armbar,2,3:22,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Caolan Loughran  Nathan Fletcher,0  0,30  59,6  1,0  0,Bantamweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Kaue Fernandes  Guram Kutateladze,2  0,79  29,2  0,0  0,Lightweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-06-15 11:53:37.078150
win,Roman Dolidze  Marvin Vettori,0  0,141  111,0  0,0  0,Middleweight,U-DEC,5,5:00,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,Chidi Njokuani  Elizeu Zaleski dos Santos,1  0,46  17,0  1,0  0,Welterweight,KO/TKO  Knee,2,2:19,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,Alexander Hernandez  Kurt Holobaugh,0  0,59  71,4  0,0  1,Lightweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,Da'Mon Blackshear  Cody Gibson,0  0,13  45,0  1,3  0,Bantamweight,SUB  Kimura,2,4:09,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,Brendson Ribeiro  Diyar Nurgozhay,1  0,28  17,0  2,1  0,Light Heavyweight,SUB  Kimura,2,1:28,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,Kevin Vallejos  SeungWoo Choi,1  0,14  16,0  0,0  0,Featherweight,KO/TKO  Punches,1,3:09,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,Waldo Cortes-Acosta  Ryan Spann,1  0,66  23,0  0,0  0,Heavyweight,KO/TKO  Punches,2,4:48,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,SuYoung You  AJ Cunningham,0  0,18  16,5  0,1  1,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,Carlos Vera  Josias Musasa,1  0,16  13,0  0,2  0,Bantamweight,SUB  Rear Naked Choke,1,3:16,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,Sam Hughes  Stephanie Luciano,0  0,76  82,3  1,1  0,Women's Strawweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,Andre Lima  Daniel Barez,0  0,108  33,2  1,1  0,Flyweight,SUB  Rear Naked Choke,3,3:05,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,Priscila Cachoeira  Josiane Nunes,1  0,37  31,0  0,0  0,Women's Bantamweight,KO/TKO  Punch,1,2:46,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,Carli Judice  Yuneisy Duben,1  0,17  14,0  0,0  0,Women's Flyweight,KO/TKO  Kick,1,1:40,,http://ufcstats.com/event-details/39f62b833e4cf126,2025-06-15 11:53:37.728729
win,Magomed Ankalaev  Alex Pereira,0  0,94  76,0  0,0  0,Light Heavyweight,U-DEC,5,5:00,,http://ufcstats.com/event-details/ca936c67687789e9,2025-06-15 11:53:38.149534
win,Justin Gaethje  Rafael Fiziev,1  0,72  68,0  2,0  0,Lightweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/ca936c67687789e9,2025-06-15 11:53:38.149534
win,Ignacio Bahamondes  Jalin Turner,0  0,10  7,0  0,1  0,Lightweight,SUB  Triangle Choke,1,2:29,,http://ufcstats.com/event-details/ca936c67687789e9,2025-06-15 11:53:38.149534
win,Amanda Lemos  Iasmin Lucindo,0  0,12  4,3  1,0  0,Women's Strawweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/ca936c67687789e9,2025-06-15 11:53:38.149534
win,Mauricio Ruffy  King Green,1  0,4  4,0  0,0  0,Lightweight,KO/TKO  Kick,1,2:07,,http://ufcstats.com/event-details/ca936c67687789e9,2025-06-15 11:53:38.149534
win,Joshua Van  Rei Tsuruya,0  0,59  32,0  4,0  0,Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/ca936c67687789e9,2025-06-15 11:53:38.149534
win,Brunno Ferreira  Armen Petrosyan,0  0,27  46,2  0,1  0,Middleweight,SUB  Armbar,2,4:27,,http://ufcstats.com/event-details/ca936c67687789e9,2025-06-15 11:53:38.149534
win,Carlos Leal  Alex Morono,0  0,79  40,0  0,0  0,Welterweight,KO/TKO  Punches,1,4:16,,http://ufcstats.com/event-details/ca936c67687789e9,2025-06-15 11:53:38.149534
win,Mairon Santos  Francis Marshall,0  0,58  39,0  3,0  0,Featherweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/ca936c67687789e9,2025-06-15 11:53:38.149534
win,Ozzy Diaz  Djorden Santos,0  0,135  131,0  1,0  0,Middleweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/ca936c67687789e9,2025-06-15 11:53:38.149534
win,Manel Kape  Asu Almabayev,0  0,61  40,0  0,0  0,Flyweight,KO/TKO  Punches,3,2:16,,http://ufcstats.com/event-details/9766ed20b68c7c33,2025-06-15 11:53:38.550910
win,Cody Brundage  Julian Marquez,1  0,44  37,0  0,0  1,Middleweight,KO/TKO  Punches,1,4:45,,http://ufcstats.com/event-details/9766ed20b68c7c33,2025-06-15 11:53:38.550910
win,Nasrat Haqparast  Esteban Ribovics,0  0,135  147,1  0,0  0,Lightweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/9766ed20b68c7c33,2025-06-15 11:53:38.550910
win,Hyder Amil  William Gomis,0  0,115  101,1  0,0  0,Featherweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/9766ed20b68c7c33,2025-06-15 11:53:38.550910
win,Sam Patterson  Danny Barlow,1  0,18  15,0  0,0  0,Welterweight,KO/TKO  Punch,1,3:10,,http://ufcstats.com/event-details/9766ed20b68c7c33,2025-06-15 11:53:38.550910
win,Mario Pinto  Austen Lane,1  1,13  32,0  0,0  0,Heavyweight,KO/TKO  Punch,2,0:39,,http://ufcstats.com/event-details/9766ed20b68c7c33,2025-06-15 11:53:38.550910
