DATE,EVENT,BOUT,FIGHTER,prob_norm,odds
2020-05-09,UFC 249: Ferguson vs. Gaethje,Aleksei Oleinik vs. Fabricio Werdum,Fabricio Werdum,0.5518477068517392,-123
2020-05-09,UFC 249: Ferguson vs. Gaethje,Aleksei Oleinik vs. Fabricio Werdum,Aleksei Oleinik,0.4481522931482609,123
2020-08-29,UFC Fight Night: Smith vs. Rakic,Alessio Di Chirico vs. Zak Cummings,Alessio Di Chirico,0.40715016612477845,146
2020-08-29,UFC Fight Night: Smith vs. Rakic,Alessio Di Chirico vs. Zak Cummings,Zak Cummings,0.5928498338752216,-146
2020-06-06,UFC 250: Nunes vs. Spencer,Alex Caceres vs. Chase Hooper,Chase Hooper,0.5467795205448007,-121
2020-06-06,UFC 250: Nunes vs. Spencer,Alex Caceres vs. Chase Hooper,Alex Caceres,0.45322047945519917,121
2020-07-25,UFC Fight Night: Whittaker vs. Till,Alex Oliveira vs. Peter Sobotta,Peter Sobotta,0.3119494261934698,221
2020-07-25,UFC Fight Night: Whittaker vs. Till,Alex Oliveira vs. Peter Sobotta,Alex Oliveira,0.6880505738065302,-221
2020-05-13,UFC Fight Night: Smith vs. Teixeira,Alexander Hernandez vs. Drew Dober,Drew Dober,0.4895577521039452,104
2020-05-13,UFC Fight Night: Smith vs. Teixeira,Alexander Hernandez vs. Drew Dober,Alexander Hernandez,0.5104422478960547,-104
2020-07-11,UFC 251: Usman vs. Masvidal,Alexander Volkanovski vs. Max Holloway,Alexander Volkanovski,0.5793010050763854,-138
2020-07-11,UFC 251: Usman vs. Masvidal,Alexander Volkanovski vs. Max Holloway,Max Holloway,0.4206989949236147,138
2020-07-18,UFC Fight Night: Figueiredo vs. Benavidez 2,Alexandre Pantoja vs. Askar Askarov,Askar Askarov,0.5040327574763082,-102
2020-07-18,UFC Fight Night: Figueiredo vs. Benavidez 2,Alexandre Pantoja vs. Askar Askarov,Alexandre Pantoja,0.4959672425236918,102
2020-09-05,UFC Fight Night: Overeem vs. Sakai,Alistair Overeem vs. Augusto Sakai,Augusto Sakai,0.5228142879919531,-110
2020-09-05,UFC Fight Night: Overeem vs. Sakai,Alistair Overeem vs. Augusto Sakai,Alistair Overeem,0.477185712008047,110
2020-05-16,UFC Fight Night: Overeem vs. Harris,Alistair Overeem vs. Walt Harris,Walt Harris,0.46341682311646964,116
2020-05-16,UFC Fight Night: Overeem vs. Harris,Alistair Overeem vs. Walt Harris,Alistair Overeem,0.5365831768835304,-116
2020-06-06,UFC 250: Nunes vs. Spencer,Alonzo Menifield vs. Devin Clark,Devin Clark,0.5830014002654532,-140
2020-06-06,UFC 250: Nunes vs. Spencer,Alonzo Menifield vs. Devin Clark,Alonzo Menifield,0.41699859973454684,140
2020-06-13,UFC Fight Night: Eye vs. Calvillo,Andre Fili vs. Charles Jourdain,Andre Fili,0.6092373331234091,-156
2020-06-13,UFC Fight Night: Eye vs. Calvillo,Andre Fili vs. Charles Jourdain,Charles Jourdain,0.3907626668765909,156
2020-09-05,UFC Fight Night: Overeem vs. Sakai,Andre Muniz vs. Bartosz Fabinski,Andre Muniz,0.49352124379452894,103
2020-09-05,UFC Fight Night: Overeem vs. Sakai,Andre Muniz vs. Bartosz Fabinski,Bartosz Fabinski,0.506478756205471,-103
2020-08-08,UFC Fight Night: Lewis vs. Oleinik,Andrew Sanchez vs. Wellington Turman,Wellington Turman,0.49101547777976434,104
