DATE,EVENT,BOUT,FIGHTER,odds
2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Aaron Phillips vs. Matt Hobar,Aaron Phillips,-185.0
2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Aaron Phillips vs. Matt Hobar,Matt Hobar,185.0
2013-07-27,UFC on FOX: Johnson vs Moraga,Aaron Riley vs. Justin Salas,Aaron Riley,131.0
2013-07-27,UFC on FOX: Johnson vs Moraga,Aaron Riley vs. Justin Salas,Justin Salas,-131.0
2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,Abel Trujillo vs. Roger Bowling,Abel Trujillo,-100.0
2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,Abel Trujillo vs. Roger Bowling,Roger Bowling,-100.0
2014-10-04,UFC Fight Night: Nelson vs Story,Akira Corassani vs. Max Holloway,Akira Corassani,248.0
2014-10-04,UFC Fight Night: Nelson vs Story,Akira Corassani vs. Max Holloway,Max Holloway,-248.0
2013-11-30,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Akira Corassani vs. Maximo Blanco,Akira Corassani,185.0
2013-11-30,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Akira Corassani vs. Maximo Blanco,Maximo Blanco,-185.0
2013-04-06,UFC on FUEL TV: Mousasi vs Latifi,Akira Corassani vs. Robert Peralta,Akira Corassani,174.0
2013-04-06,UFC on FUEL TV: Mousasi vs Latifi,Akira Corassani vs. Robert Peralta,Robert Peralta,-174.0
2015-01-24,UFC on FOX: Gustafsson vs Johnson,Akira Corassani vs. Sam Sicilia,Akira Corassani,196.0
2015-01-24,UFC on FOX: Gustafsson vs Johnson,Akira Corassani vs. Sam Sicilia,Sam Sicilia,-196.0
2014-05-24,UFC 173: Barao vs Dillashaw,Al Iaquinta vs. Mitch Clarke,Al Iaquinta,-196.0
2014-05-24,UFC 173: Barao vs Dillashaw,Al Iaquinta vs. Mitch Clarke,Mitch Clarke,196.0
2013-10-26,UFC Fight Night: Machida vs Munoz,Al Iaquinta vs. Piotr Hallmann,Al Iaquinta,-116.0
2013-10-26,UFC Fight Night: Machida vs Munoz,Al Iaquinta vs. Piotr Hallmann,Piotr Hallmann,116.0
2014-09-05,UFC Fight Night: Jacare vs Mousasi,Al Iaquinta vs. Rodrigo Damm,Al Iaquinta,-196.0
2014-09-05,UFC Fight Night: Jacare vs Mousasi,Al Iaquinta vs. Rodrigo Damm,Rodrigo Damm,196.0
2015-02-28,UFC 184: Rousey vs Zingano,Alan Jouban vs. Richard Walsh,Alan Jouban,248.0
2015-02-28,UFC 184: Rousey vs Zingano,Alan Jouban vs. Richard Walsh,Richard Walsh,-248.0
2014-01-25,UFC on FOX: Henderson vs Thomson,Alex Caceres vs. Sergio Pettis,Alex Caceres,116.0
