DATE,EVENT,BOUT,FIGHTER,odds
2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Aaron Phillips vs. Matt Hobar,Aaron Phillips,-165
2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Aaron Phillips vs. Matt Hobar,Matt Hobar,165
2013-07-27,UFC on FOX: Johnson vs Moraga,Aaron Riley vs. Justin Salas,Aaron Riley,131
2013-07-27,UFC on FOX: Johnson vs Moraga,Aaron Riley vs. Justin Salas,Justin Salas,-131
2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,Abel Trujillo vs. Roger Bowling,Abel Trujillo,-101
2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,Abel Trujillo vs. Roger Bowling,Roger Bowling,101
2014-10-04,UFC Fight Night: Nelson vs Story,Akira Corassani vs. Max Holloway,Akira Corassani,277
2014-10-04,UFC Fight Night: Nelson vs Story,Akira Corassani vs. Max Holloway,Max Holloway,-277
2013-11-30,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Akira Corassani vs. Maximo Blanco,Akira Corassani,187
2013-11-30,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Akira Corassani vs. Maximo Blanco,Maximo Blanco,-187
2013-04-06,UFC on FUEL TV: Mousasi vs Latifi,Akira Corassani vs. Robert Peralta,Akira Corassani,172
2013-04-06,UFC on FUEL TV: Mousasi vs Latifi,Akira Corassani vs. Robert Peralta,Robert Peralta,-172
2015-01-24,UFC on FOX: Gustafsson vs Johnson,Akira Corassani vs. Sam Sicilia,Akira Corassani,198
2015-01-24,UFC on FOX: Gustafsson vs Johnson,Akira Corassani vs. Sam Sicilia,Sam Sicilia,-198
2014-05-24,UFC 173: Barao vs Dillashaw,Al Iaquinta vs. Mitch Clarke,Al Iaquinta,-150
2014-05-24,UFC 173: Barao vs Dillashaw,Al Iaquinta vs. Mitch Clarke,Mitch Clarke,150
2013-10-26,UFC Fight Night: Machida vs Munoz,Al Iaquinta vs. Piotr Hallmann,Al Iaquinta,-116
2013-10-26,UFC Fight Night: Machida vs Munoz,Al Iaquinta vs. Piotr Hallmann,Piotr Hallmann,116
2014-09-05,UFC Fight Night: Jacare vs Mousasi,Al Iaquinta vs. Rodrigo Damm,Al Iaquinta,-210
2014-09-05,UFC Fight Night: Jacare vs Mousasi,Al Iaquinta vs. Rodrigo Damm,Rodrigo Damm,210
2015-02-28,UFC 184: Rousey vs Zingano,Alan Jouban vs. Richard Walsh,Alan Jouban,216
2015-02-28,UFC 184: Rousey vs Zingano,Alan Jouban vs. Richard Walsh,Richard Walsh,-216
2014-01-25,UFC on FOX: Henderson vs Thomson,Alex Caceres vs. Sergio Pettis,Alex Caceres,100
2014-01-25,UFC on FOX: Henderson vs Thomson,Alex Caceres vs. Sergio Pettis,Sergio Pettis,-100
2014-12-06,UFC 181: Hendricks vs Lawler II,Alex White vs. Clay Collard,Alex White,-116
2014-12-06,UFC 181: Hendricks vs Lawler II,Alex White vs. Clay Collard,Clay Collard,116
2015-01-24,UFC on FOX: Gustafsson vs Johnson,Alexander Gustafsson vs. Anthony Johnson,Alexander Gustafsson,183
2015-01-24,UFC on FOX: Gustafsson vs Johnson,Alexander Gustafsson vs. Anthony Johnson,Anthony Johnson,-183
2014-03-08,UFC Fight Night: Gustafsson vs Manuwa,Alexander Gustafsson vs. Jimi Manuwa,Alexander Gustafsson,-166
2014-03-08,UFC Fight Night: Gustafsson vs Manuwa,Alexander Gustafsson vs. Jimi Manuwa,Jimi Manuwa,166
2013-02-02,UFC 156: Aldo vs Edgar,Alistair Overeem vs. Antonio Silva,Alistair Overeem,-131
2013-02-02,UFC 156: Aldo vs Edgar,Alistair Overeem vs. Antonio Silva,Antonio Silva,131
2014-09-05,UFC Fight Night: Jacare vs Mousasi,Alistair Overeem vs. Ben Rothwell,Alistair Overeem,-191
2014-09-05,UFC Fight Night: Jacare vs Mousasi,Alistair Overeem vs. Ben Rothwell,Ben Rothwell,191
2014-12-13,UFC on FOX: Dos Santos vs Miocic,Alistair Overeem vs. Stefan Struve,Alistair Overeem,-211
2014-12-13,UFC on FOX: Dos Santos vs Miocic,Alistair Overeem vs. Stefan Struve,Stefan Struve,211
2013-08-17,UFC Fight Night: Shogun vs Sonnen,Alistair Overeem vs. Travis Browne,Alistair Overeem,115
2013-08-17,UFC Fight Night: Shogun vs Sonnen,Alistair Overeem vs. Travis Browne,Travis Browne,-115
2014-06-14,UFC 174: Johnson vs Bagautinov,Andrei Arlovski vs. Brendan Schaub,Andrei Arlovski,114
2014-06-14,UFC 174: Johnson vs Bagautinov,Andrei Arlovski vs. Brendan Schaub,Brendan Schaub,-114
2013-10-26,UFC Fight Night: Machida vs Munoz,Andy Ogle vs. Cole Miller,Andy Ogle,-146
2013-10-26,UFC Fight Night: Machida vs Munoz,Andy Ogle vs. Cole Miller,Cole Miller,146
2013-02-16,UFC on FUEL TV: Barao vs McDonald,Andy Ogle vs. Josh Grispi,Andy Ogle,105
2013-02-16,UFC on FUEL TV: Barao vs McDonald,Andy Ogle vs. Josh Grispi,Josh Grispi,-105
2014-05-31,UFC Fight Night: Munoz vs Mousasi,Andy Ogle vs. Maximo Blanco,Andy Ogle,-101
2014-05-31,UFC Fight Night: Munoz vs Mousasi,Andy Ogle vs. Maximo Blanco,Maximo Blanco,101
2015-05-23,UFC 187: Johnson vs Cormier,Anthony Johnson vs. Daniel Cormier,Anthony Johnson,-199
2015-05-23,UFC 187: Johnson vs Cormier,Anthony Johnson vs. Daniel Cormier,Daniel Cormier,199
2014-07-26,UFC on FOX: Lawler vs Brown,Anthony Johnson vs. Rogerio Nogueira,Anthony Johnson,-261
2014-07-26,UFC on FOX: Lawler vs Brown,Anthony Johnson vs. Rogerio Nogueira,Rogerio Nogueira,261
2014-05-10,UFC Fight Night: Brown vs Silva,Anthony Lapsley vs. Albert Tumenov,Anthony Lapsley,118
2014-05-10,UFC Fight Night: Brown vs Silva,Anthony Lapsley vs. Albert Tumenov,Albert Tumenov,-118
2014-05-24,UFC 173: Barao vs Dillashaw,Anthony Njokuani vs. Vinc Pichel,Anthony Njokuani,120
2014-05-24,UFC 173: Barao vs Dillashaw,Anthony Njokuani vs. Vinc Pichel,Vinc Pichel,-120
2014-11-07,UFC Fight Night: Rockhold vs Bisping,Anthony Perosh vs. Guto Inocente,Anthony Perosh,155
2014-11-07,UFC Fight Night: Rockhold vs Bisping,Anthony Perosh vs. Guto Inocente,Guto Inocente,-155
2015-05-09,UFC Fight Night: Miocic vs Hunt,Anthony Perosh vs. Sean O'Connell,Anthony Perosh,132
2015-05-09,UFC Fight Night: Miocic vs Hunt,Anthony Perosh vs. Sean O'Connell,Sean O'Connell,-132
2013-01-26,UFC on FOX: Johnson vs Dodson,Anthony Pettis vs. Donald Cerrone,Anthony Pettis,-231
2013-01-26,UFC on FOX: Johnson vs Dodson,Anthony Pettis vs. Donald Cerrone,Donald Cerrone,231
2014-12-06,UFC 181: Hendricks vs Lawler II,Anthony Pettis vs. Gilbert Melendez,Anthony Pettis,-156
2014-12-06,UFC 181: Hendricks vs Lawler II,Anthony Pettis vs. Gilbert Melendez,Gilbert Melendez,156
2015-03-14,UFC 185: Pettis vs Dos Anjos,Anthony Pettis vs. Rafael Dos Anjos,Anthony Pettis,111
