DATE,EVENT,BOUT,FIGHTER,odds
2023-08-12,UFC Fight Night: Luque vs. Dos Anjos,AJ Dobson vs. Tafon Nchukwi,AJ Dobson,163
2023-08-12,UFC Fight Night: Luque vs. Dos Anjos,AJ Dobson vs. Tafon Nchukwi,Tafon Nchukwi,-163
2022-08-20,UFC 278: Usman vs. Edwards,AJ Fletcher vs. Ange Loosa,AJ Fletcher,-215
2022-08-20,UFC 278: Usman vs. Edwards,AJ Fletcher vs. Ange Loosa,Ange Loosa,215
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Abu Azaitar vs. Sedriques Dumas,Abu Azaitar,303
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Abu Azaitar vs. Sedriques Dumas,Sedriques Dumas,-303
2023-06-03,UFC Fight Night: Kara-France vs. Albazi,Abubakar Nurmagomedov vs. Elizeu Zaleski dos Santos,Abubakar Nurmagomedov,159
2023-06-03,UFC Fight Night: Kara-France vs. Albazi,Abubakar Nurmagomedov vs. Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,-159
2022-10-22,UFC 280: Oliveira vs. Makhachev,Abubakar Nurmagomedov vs. Gadzhi Omargadzhiev,Abubakar Nurmagomedov,-163
2022-10-22,UFC 280: Oliveira vs. Makhachev,Abubakar Nurmagomedov vs. Gadzhi Omargadzhiev,Gadzhi Omargadzhiev,163
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Abus Magomedov vs. Warlley Alves,Abus Magomedov,-159
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Abus Magomedov vs. Warlley Alves,Warlley Alves,159
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Adrian Yanez vs. Vinicius Salvador,Adrian Yanez,-159
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Adrian Yanez vs. Vinicius Salvador,Vinicius Salvador,159
2023-06-10,UFC 289: Nunes vs. Aldana,Aiemann Zahabi vs. Aoriqileng,Aiemann Zahabi,150
2023-06-10,UFC 289: Nunes vs. Aldana,Aiemann Zahabi vs. Aoriqileng,Aoriqileng,-150
2024-03-02,UFC Fight Night: Rozenstruik vs. Gaziev,Aiemann Zahabi vs. Javid Basharat,Aiemann Zahabi,246
2024-03-02,UFC Fight Night: Rozenstruik vs. Gaziev,Aiemann Zahabi vs. Javid Basharat,Javid Basharat,-246
2022-07-09,UFC Fight Night: Dos Anjos vs. Fiziev,Aiemann Zahabi vs. Ricky Turcios,Aiemann Zahabi,234
2022-07-09,UFC Fight Night: Dos Anjos vs. Fiziev,Aiemann Zahabi vs. Ricky Turcios,Ricky Turcios,-234
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Alatengheili vs. Kleydson Rodrigues,Alatengheili,163
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Alatengheili vs. Kleydson Rodrigues,Kleydson Rodrigues,-163
2023-07-15,UFC Fight Night: Holm vs. Bueno Silva,Albert Duraev vs. JunYong Park,Albert Duraev,159
2023-07-15,UFC Fight Night: Holm vs. Bueno Silva,Albert Duraev vs. JunYong Park,JunYong Park,-159
2024-05-04,UFC 301: Pantoja vs. Erceg,Alessandro Costa vs. Kevin Borjas,Alessandro Costa,-121
2024-05-04,UFC 301: Pantoja vs. Erceg,Alessandro Costa vs. Kevin Borjas,Kevin Borjas,121
2022-09-03,UFC Fight Night: Gane vs. Tuivasa,Alessio Di Chirico vs. Roman Kopylov,Alessio Di Chirico,-150
2022-09-03,UFC Fight Night: Gane vs. Tuivasa,Alessio Di Chirico vs. Roman Kopylov,Roman Kopylov,150
2023-06-03,UFC Fight Night: Kara-France vs. Albazi,Alex Caceres vs. Daniel Pineda,Alex Caceres,-702
2023-06-03,UFC Fight Night: Kara-France vs. Albazi,Alex Caceres vs. Daniel Pineda,Daniel Pineda,702
2022-12-17,UFC Fight Night: Cannonier vs. Strickland,Alex Caceres vs. Julian Erosa,Alex Caceres,-375
2022-12-17,UFC Fight Night: Cannonier vs. Strickland,Alex Caceres vs. Julian Erosa,Julian Erosa,375
2024-05-11,UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Alex Caceres,-159
2024-05-11,UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Sean Woodson,159
2023-10-07,UFC Fight Night: Dawson vs. Green,Alex Morono vs. Joaquin Buckley,Alex Morono,150
2023-10-07,UFC Fight Night: Dawson vs. Green,Alex Morono vs. Joaquin Buckley,Joaquin Buckley,-150
2022-07-30,UFC 277: Pena vs. Nunes 2,Alex Morono vs. Matthew Semelsberger,Alex Morono,-106
2022-07-30,UFC 277: Pena vs. Nunes 2,Alex Morono vs. Matthew Semelsberger,Matthew Semelsberger,106
2023-04-08,UFC 287: Pereira vs. Adesanya 2,Alex Pereira vs. Israel Adesanya,Alex Pereira,177
2023-04-08,UFC 287: Pereira vs. Adesanya 2,Alex Pereira vs. Israel Adesanya,Israel Adesanya,-177
2024-04-13,UFC 300: Pereira vs. Hill,Alex Pereira vs. Jamahal Hill,Alex Pereira,-234
2024-04-13,UFC 300: Pereira vs. Hill,Alex Pereira vs. Jamahal Hill,Jamahal Hill,234
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Alex Pereira vs. Jiri Prochazka,Alex Pereira,-234
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Alex Pereira vs. Jiri Prochazka,Jiri Prochazka,234
2024-03-02,UFC Fight Night: Rozenstruik vs. Gaziev,Alex Perez vs. Muhammad Mokaev,Alex Perez,246
2024-03-02,UFC Fight Night: Rozenstruik vs. Gaziev,Alex Perez vs. Muhammad Mokaev,Muhammad Mokaev,-246
2024-06-15,UFC Fight Night: Perez vs. Taira,Alex Perez vs. Tatsuro Taira,Alex Perez,246
2024-06-15,UFC Fight Night: Perez vs. Taira,Alex Perez vs. Tatsuro Taira,Tatsuro Taira,-246
2023-10-07,UFC Fight Night: Dawson vs. Green,Alexander Hernandez vs. Bill Algeo,Alexander Hernandez,-124
2023-10-07,UFC Fight Night: Dawson vs. Green,Alexander Hernandez vs. Bill Algeo,Bill Algeo,124
2024-04-06,UFC Fight Night: Allen vs. Curtis 2,Alexander Hernandez vs. Damon Jackson,Alexander Hernandez,-131
2024-04-06,UFC Fight Night: Allen vs. Curtis 2,Alexander Hernandez vs. Damon Jackson,Damon Jackson,131
2023-07-15,UFC Fight Night: Holm vs. Bueno Silva,Alexander Munoz vs. Carl Deaton,Alexander Munoz,150
2023-07-15,UFC Fight Night: Holm vs. Bueno Silva,Alexander Munoz vs. Carl Deaton,Carl Deaton,-150
2024-02-17,UFC 298: Volkanovski vs. Topuria,Alexander Volkanovski vs. Ilia Topuria,Alexander Volkanovski,-163
2024-02-17,UFC 298: Volkanovski vs. Topuria,Alexander Volkanovski vs. Ilia Topuria,Ilia Topuria,163
2023-07-08,UFC 290: Volkanovski vs. Rodriguez,Alexander Volkanovski vs. Yair Rodriguez,Alexander Volkanovski,-702
2023-07-08,UFC 290: Volkanovski vs. Rodriguez,Alexander Volkanovski vs. Yair Rodriguez,Yair Rodriguez,702
2023-03-11,UFC Fight Night: Yan vs. Dvalishvili,Alexander Volkov vs. Alexandr Romanov,Alexander Volkov,-100
2023-03-11,UFC Fight Night: Yan vs. Dvalishvili,Alexander Volkov vs. Alexandr Romanov,Alexandr Romanov,-100
2023-07-01,UFC Fight Night: Strickland vs. Magomedov,Alexandr Romanov vs. Blagoy Ivanov,Alexandr Romanov,-323
2023-07-01,UFC Fight Night: Strickland vs. Magomedov,Alexandr Romanov vs. Blagoy Ivanov,Blagoy Ivanov,323
2022-07-30,UFC 277: Pena vs. Nunes 2,Alexandre Pantoja vs. Alex Perez,Alexandre Pantoja,150
2022-07-30,UFC 277: Pena vs. Nunes 2,Alexandre Pantoja vs. Alex Perez,Alex Perez,-150
2023-12-16,UFC 296: Edwards vs. Covington,Alexandre Pantoja vs. Brandon Royval,Alexandre Pantoja,150
2023-12-16,UFC 296: Edwards vs. Covington,Alexandre Pantoja vs. Brandon Royval,Brandon Royval,-150
2024-05-04,UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Alexandre Pantoja,150
2024-05-04,UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Steve Erceg,-150
2023-01-14,UFC Fight Night: Strickland vs. Imavov,Allan Nascimento vs. Carlos Hernandez,Allan Nascimento,-159
2023-01-14,UFC Fight Night: Strickland vs. Imavov,Allan Nascimento vs. Carlos Hernandez,Carlos Hernandez,159
2024-05-11,UFC Fight Night: Lewis vs. Nascimento,Alonzo Menifield vs. Carlos Ulberg,Alonzo Menifield,192
2024-05-11,UFC Fight Night: Lewis vs. Nascimento,Alonzo Menifield vs. Carlos Ulberg,Carlos Ulberg,-192
2023-12-16,UFC 296: Edwards vs. Covington,Alonzo Menifield vs. Dustin Jacoby,Alonzo Menifield,159
2023-12-16,UFC 296: Edwards vs. Covington,Alonzo Menifield vs. Dustin Jacoby,Dustin Jacoby,-159
2022-08-20,UFC 278: Usman vs. Edwards,Amir Albazi vs. Francisco Figueiredo,Amir Albazi,-150
2022-08-20,UFC 278: Usman vs. Edwards,Amir Albazi vs. Francisco Figueiredo,Francisco Figueiredo,150
2023-05-20,UFC Fight Night: Dern vs. Hill,Andre Fialho vs. Joaquin Buckley,Andre Fialho,246
2023-05-20,UFC Fight Night: Dern vs. Hill,Andre Fialho vs. Joaquin Buckley,Joaquin Buckley,-246
2022-11-19,UFC Fight Night: Nzechukwu vs. Cutelaba,Andre Fialho vs. Muslim Salikhov,Andre Fialho,150
2022-11-19,UFC Fight Night: Nzechukwu vs. Cutelaba,Andre Fialho vs. Muslim Salikhov,Muslim Salikhov,-150
2022-09-17,UFC Fight Night: Sandhagen vs. Song,Andre Fili vs. Bill Algeo,Andre Fili,163
2022-09-17,UFC Fight Night: Sandhagen vs. Song,Andre Fili vs. Bill Algeo,Bill Algeo,-163
2023-12-16,UFC 296: Edwards vs. Covington,Andre Fili vs. Lucas Almeida,Andre Fili,-131
2023-12-16,UFC 296: Edwards vs. Covington,Andre Fili vs. Lucas Almeida,Lucas Almeida,131
2023-02-25,UFC Fight Night: Muniz vs. Allen,Andre Muniz vs. Brendan Allen,Andre Muniz,150
2023-02-25,UFC Fight Night: Muniz vs. Allen,Andre Muniz vs. Brendan Allen,Brendan Allen,-150
2024-09-07,UFC Fight Night: Burns vs. Brady,Andre Petroski vs. Dylan Budka,Andre Petroski,-131
2024-09-07,UFC Fight Night: Burns vs. Brady,Andre Petroski vs. Dylan Budka,Dylan Budka,131
2023-08-19,UFC 292: Sterling vs. O'Malley,Andre Petroski vs. Gerald Meerschaert,Andre Petroski,-183
2023-08-19,UFC 292: Sterling vs. O'Malley,Andre Petroski vs. Gerald Meerschaert,Gerald Meerschaert,183
2024-03-30,UFC Fight Night: Blanchfield vs. Fiorot,Andre Petroski vs. Jacob Malkoun,Andre Petroski,163
2024-03-30,UFC Fight Night: Blanchfield vs. Fiorot,Andre Petroski vs. Jacob Malkoun,Jacob Malkoun,-163
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Andre Petroski vs. Michel Pereira,Andre Petroski,-100
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Andre Petroski vs. Michel Pereira,Michel Pereira,-100
2022-11-12,UFC 281: Adesanya vs. Pereira,Andre Petroski vs. Wellington Turman,Andre Petroski,-234
2022-11-12,UFC 281: Adesanya vs. Pereira,Andre Petroski vs. Wellington Turman,Wellington Turman,234
2023-06-03,UFC Fight Night: Kara-France vs. Albazi,Andrei Arlovski vs. Don'Tale Mayes,Andrei Arlovski,163
2023-06-03,UFC Fight Night: Kara-France vs. Albazi,Andrei Arlovski vs. Don'Tale Mayes,Don'Tale Mayes,-163
2022-10-29,UFC Fight Night: Kattar vs. Allen,Andrei Arlovski vs. Marcos Rogerio de Lima,Andrei Arlovski,246
2022-10-29,UFC Fight Night: Kattar vs. Allen,Andrei Arlovski vs. Marcos Rogerio de Lima,Marcos Rogerio de Lima,-246
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Andrei Arlovski vs. Martin Buday,Andrei Arlovski,246
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Andrei Arlovski vs. Martin Buday,Martin Buday,-246
2024-01-13,UFC Fight Night: Ankalaev vs. Walker 2,Andrei Arlovski vs. Waldo Cortes-Acosta,Andrei Arlovski,438
2024-01-13,UFC Fight Night: Ankalaev vs. Walker 2,Andrei Arlovski vs. Waldo Cortes-Acosta,Waldo Cortes-Acosta,-438
2023-09-02,UFC Fight Night: Gane vs. Spivac,Ange Loosa vs. Rhys McKee,Ange Loosa,-115
2023-09-02,UFC Fight Night: Gane vs. Spivac,Ange Loosa vs. Rhys McKee,Rhys McKee,115
2022-09-17,UFC Fight Night: Sandhagen vs. Song,Anthony Hernandez vs. Marc-Andre Barriault,Anthony Hernandez,-234
2022-09-17,UFC Fight Night: Sandhagen vs. Song,Anthony Hernandez vs. Marc-Andre Barriault,Marc-Andre Barriault,234
2024-02-17,UFC 298: Volkanovski vs. Topuria,Anthony Hernandez vs. Roman Kopylov,Anthony Hernandez,-168
2024-02-17,UFC 298: Volkanovski vs. Topuria,Anthony Hernandez vs. Roman Kopylov,Roman Kopylov,168
2023-05-13,UFC Fight Night: Rozenstruik vs. Almeida,Anthony Smith vs. Johnny Walker,Anthony Smith,246
2023-05-13,UFC Fight Night: Rozenstruik vs. Almeida,Anthony Smith vs. Johnny Walker,Johnny Walker,-246
2023-12-09,UFC Fight Night: Song vs. Gutierrez,Anthony Smith vs. Khalil Rountree Jr.,Anthony Smith,-163
2023-12-09,UFC Fight Night: Song vs. Gutierrez,Anthony Smith vs. Khalil Rountree Jr.,Khalil Rountree Jr.,163
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Anthony Smith vs. Roman Dolidze,Anthony Smith,-106
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Anthony Smith vs. Roman Dolidze,Roman Dolidze,106
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith vs. Ryan Spann,Anthony Smith,159
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith vs. Ryan Spann,Ryan Spann,-159
2024-05-04,UFC 301: Pantoja vs. Erceg,Anthony Smith vs. Vitor Petrino,Anthony Smith,177
2024-05-04,UFC 301: Pantoja vs. Erceg,Anthony Smith vs. Vitor Petrino,Vitor Petrino,-177
2022-08-20,UFC 278: Usman vs. Edwards,Aoriqileng vs. Jay Perrin,Aoriqileng,-163
2022-08-20,UFC 278: Usman vs. Edwards,Aoriqileng vs. Jay Perrin,Jay Perrin,163
2023-10-07,UFC Fight Night: Dawson vs. Green,Aoriqileng vs. Johnny Munoz,Aoriqileng,163
2023-10-07,UFC Fight Night: Dawson vs. Green,Aoriqileng vs. Johnny Munoz,Johnny Munoz,-163
2022-12-17,UFC Fight Night: Cannonier vs. Strickland,Arman Tsarukyan vs. Damir Ismagulov,Arman Tsarukyan,-183
2022-12-17,UFC Fight Night: Cannonier vs. Strickland,Arman Tsarukyan vs. Damir Ismagulov,Damir Ismagulov,183
2023-06-17,UFC Fight Night: Vettori vs. Cannonier,Arman Tsarukyan vs. Joaquim Silva,Arman Tsarukyan,-833
2023-06-17,UFC Fight Night: Vettori vs. Cannonier,Arman Tsarukyan vs. Joaquim Silva,Joaquim Silva,833
2022-10-22,UFC 280: Oliveira vs. Makhachev,Armen Petrosyan vs. AJ Dobson,Armen Petrosyan,-159
2022-10-22,UFC 280: Oliveira vs. Makhachev,Armen Petrosyan vs. AJ Dobson,AJ Dobson,159
2023-06-17,UFC Fight Night: Vettori vs. Cannonier,Armen Petrosyan vs. Christian Leroy Duncan,Armen Petrosyan,-124
2023-06-17,UFC Fight Night: Vettori vs. Cannonier,Armen Petrosyan vs. Christian Leroy Duncan,Christian Leroy Duncan,124
2024-07-27,UFC 304: Edwards vs. Muhammad 2,Arnold Allen vs. Giga Chikadze,Arnold Allen,-150
2024-07-27,UFC 304: Edwards vs. Muhammad 2,Arnold Allen vs. Giga Chikadze,Giga Chikadze,150
2024-01-20,UFC 297: Strickland vs. Du Plessis,Arnold Allen vs. Movsar Evloev,Arnold Allen,150
2024-01-20,UFC 297: Strickland vs. Du Plessis,Arnold Allen vs. Movsar Evloev,Movsar Evloev,-150
2024-06-15,UFC Fight Night: Perez vs. Taira,Asu Almabayev vs. Jose Johnson,Asu Almabayev,-159
2024-06-15,UFC Fight Night: Perez vs. Taira,Asu Almabayev vs. Jose Johnson,Jose Johnson,159
2023-02-25,UFC Fight Night: Muniz vs. Allen,Augusto Sakai vs. Don'Tale Mayes,Augusto Sakai,-100
2023-02-25,UFC Fight Night: Muniz vs. Allen,Augusto Sakai vs. Don'Tale Mayes,Don'Tale Mayes,-100
2022-08-06,UFC Fight Night: Santos vs. Hill,Augusto Sakai vs. Serghei Spivac,Augusto Sakai,246
2022-08-06,UFC Fight Night: Santos vs. Hill,Augusto Sakai vs. Serghei Spivac,Serghei Spivac,-246
2024-04-27,UFC Fight Night: Nicolau vs. Perez,Austin Hubbard vs. Michal Figlak,Austin Hubbard,-100
2024-04-27,UFC Fight Night: Nicolau vs. Perez,Austin Hubbard vs. Michal Figlak,Michal Figlak,-100
2023-07-15,UFC Fight Night: Holm vs. Bueno Silva,Austin Lingo vs. Melquizael Costa,Austin Lingo,-100
2023-07-15,UFC Fight Night: Holm vs. Bueno Silva,Austin Lingo vs. Melquizael Costa,Melquizael Costa,-100
2024-08-03,UFC Fight Night: Sandhagen vs. Nurmagomedov,Azamat Murzakanov vs. Alonzo Menifield,Azamat Murzakanov,118
2024-08-03,UFC Fight Night: Sandhagen vs. Nurmagomedov,Azamat Murzakanov vs. Alonzo Menifield,Alonzo Menifield,-118
2024-02-03,UFC Fight Night: Dolidze vs. Imavov,Azat Maksum vs. Charles Johnson,Azat Maksum,121
2024-02-03,UFC Fight Night: Dolidze vs. Imavov,Azat Maksum vs. Charles Johnson,Charles Johnson,-121
2023-05-06,UFC 288: Sterling vs. Cejudo,Belal Muhammad vs. Gilbert Burns,Belal Muhammad,-100
2023-05-06,UFC 288: Sterling vs. Cejudo,Belal Muhammad vs. Gilbert Burns,Gilbert Burns,-100
2022-10-22,UFC 280: Oliveira vs. Makhachev,Belal Muhammad vs. Sean Brady,Belal Muhammad,150
2022-10-22,UFC 280: Oliveira vs. Makhachev,Belal Muhammad vs. Sean Brady,Sean Brady,-150
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Beneil Dariush vs. Arman Tsarukyan,Beneil Dariush,-100
2023-12-02,UFC Fight Night: Dariush vs. Tsarukyan,Beneil Dariush vs. Arman Tsarukyan,Arman Tsarukyan,-100
2022-10-22,UFC 280: Oliveira vs. Makhachev,Beneil Dariush vs. Mateusz Gamrot,Beneil Dariush,-163
2022-10-22,UFC 280: Oliveira vs. Makhachev,Beneil Dariush vs. Mateusz Gamrot,Mateusz Gamrot,163
2023-09-02,UFC Fight Night: Gane vs. Spivac,Benoit Saint Denis vs. Thiago Moises,Benoit Saint Denis,-121
2023-09-02,UFC Fight Night: Gane vs. Spivac,Benoit Saint Denis vs. Thiago Moises,Thiago Moises,121
2022-07-16,UFC Fight Night: Ortega vs. Rodriguez,Bill Algeo vs. Herbert Burns,Bill Algeo,-159
2022-07-16,UFC Fight Night: Ortega vs. Rodriguez,Bill Algeo vs. Herbert Burns,Herbert Burns,159
2024-03-30,UFC Fight Night: Blanchfield vs. Fiorot,Bill Algeo vs. Kyle Nelson,Bill Algeo,-177
2024-03-30,UFC Fight Night: Blanchfield vs. Fiorot,Bill Algeo vs. Kyle Nelson,Kyle Nelson,177
2023-04-15,UFC Fight Night: Holloway vs. Allen,Bill Algeo vs. TJ Brown,Bill Algeo,-125
2023-04-15,UFC Fight Night: Holloway vs. Allen,Bill Algeo vs. TJ Brown,TJ Brown,125
2022-12-10,UFC 282: Blachowicz vs. Ankalaev,Billy Quarantillo vs. Alexander Hernandez,Billy Quarantillo,246
2022-12-10,UFC 282: Blachowicz vs. Ankalaev,Billy Quarantillo vs. Alexander Hernandez,Alexander Hernandez,-246
2023-08-05,UFC Fight Night: Sandhagen vs. Font,Billy Quarantillo vs. Damon Jackson,Billy Quarantillo,163
2023-08-05,UFC Fight Night: Sandhagen vs. Font,Billy Quarantillo vs. Damon Jackson,Damon Jackson,-163
2024-03-23,UFC Fight Night: Ribas vs. Namajunas,Billy Quarantillo vs. Youssef Zalal,Billy Quarantillo,234
2024-03-23,UFC Fight Night: Ribas vs. Namajunas,Billy Quarantillo vs. Youssef Zalal,Youssef Zalal,-234
2024-05-11,UFC Fight Night: Lewis vs. Nascimento,Billy Ray Goff vs. Trey Waters,Billy Ray Goff,-121
2024-05-11,UFC Fight Night: Lewis vs. Nascimento,Billy Ray Goff vs. Trey Waters,Trey Waters,121
2024-04-13,UFC 300: Pereira vs. Hill,Bo Nickal vs. Cody Brundage,Bo Nickal,-438
2024-04-13,UFC 300: Pereira vs. Hill,Bo Nickal vs. Cody Brundage,Cody Brundage,438
2023-08-19,UFC 292: Sterling vs. O'Malley,Brad Katona vs. Cody Gibson,Brad Katona,-131
2023-08-19,UFC 292: Sterling vs. O'Malley,Brad Katona vs. Cody Gibson,Cody Gibson,131
2024-01-20,UFC 297: Strickland vs. Du Plessis,Brad Katona vs. Garrett Armfield,Brad Katona,163
2024-01-20,UFC 297: Strickland vs. Du Plessis,Brad Katona vs. Garrett Armfield,Garrett Armfield,-163
2024-06-08,UFC Fight Night: Cannonier vs. Imavov,Brad Katona vs. Jesse Butler,Brad Katona,124
2024-06-08,UFC Fight Night: Cannonier vs. Imavov,Brad Katona vs. Jesse Butler,Jesse Butler,-124
2022-11-12,UFC 281: Adesanya vs. Pereira,Brad Riddell vs. Renato Moicano,Brad Riddell,-150
2022-11-12,UFC 281: Adesanya vs. Pereira,Brad Riddell vs. Renato Moicano,Renato Moicano,150
2023-04-22,UFC Fight Night: Pavlovich vs. Blaydes,Brad Tavares vs. Bruno Silva,Brad Tavares,-197
2023-04-22,UFC Fight Night: Pavlovich vs. Blaydes,Brad Tavares vs. Bruno Silva,Bruno Silva,197
2024-02-10,UFC Fight Night: Hermansson vs. Pyfer,Brad Tavares vs. Gregory Rodrigues,Brad Tavares,159
2024-02-10,UFC Fight Night: Hermansson vs. Pyfer,Brad Tavares vs. Gregory Rodrigues,Gregory Rodrigues,-159
2023-04-22,UFC Fight Night: Pavlovich vs. Blaydes,Brady Hiestand vs. Batgerel Danaa,Brady Hiestand,-159
