DATE,EVENT,BOUT,FIGHTER,prob_norm,odds
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Abus Magomedov vs. Warlley Alves,Abus Magomedov,0.5704082737289655,-133
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Abus Magomedov vs. Warlley Alves,Warlley Alves,0.42959172627103454,133
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Adrian Yanez vs. Vinicius Salvador,Adrian Yanez,0.5991136102168692,-149
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Adrian Yanez vs. Vinicius Salvador,Vinicius Salvador,0.4008863897831308,149
2024-03-02,UFC Fight Night: Rozenstruik vs. Gaziev,Aiemann Zahabi vs. Javid Basharat,Aiemann Zahabi,0.29800349177799607,236
2024-03-02,UFC Fight Night: Rozenstruik vs. Gaziev,Aiemann Zahabi vs. Javid Basharat,Javid Basharat,0.7019965082220039,-236
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Alatengheili vs. Kleydson Rodrigues,Alatengheili,0.3918778470754914,155
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Alatengheili vs. Kleydson Rodrigues,Kleydson Rodrigues,0.6081221529245086,-155
2024-05-04,UFC 301: Pantoja vs. Erceg,Alessandro Costa vs. Kevin Borjas,Alessandro Costa,0.5309211375914173,-113
2024-05-04,UFC 301: Pantoja vs. Erceg,Alessandro Costa vs. Kevin Borjas,Kevin Borjas,0.4690788624085826,113
2024-05-11,UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Alex Caceres,0.5584943810758999,-126
2024-05-11,UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Sean Woodson,0.4415056189241001,126
2024-04-13,UFC 300: Pereira vs. Hill,Alex Pereira vs. Jamahal Hill,Alex Pereira,0.6047554000987421,-153
2024-04-13,UFC 300: Pereira vs. Hill,Alex Pereira vs. Jamahal Hill,Jamahal Hill,0.395244599901258,153
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Alex Pereira vs. Jiri Prochazka,Alex Pereira,0.6226292765137323,-165
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Alex Pereira vs. Jiri Prochazka,Jiri Prochazka,0.3773707234862676,165
2024-03-02,UFC Fight Night: Rozenstruik vs. Gaziev,Alex Perez vs. Muhammad Mokaev,Alex Perez,0.2897747521247703,245
2024-03-02,UFC Fight Night: Rozenstruik vs. Gaziev,Alex Perez vs. Muhammad Mokaev,Muhammad Mokaev,0.7102252478752298,-245
2024-06-15,UFC Fight Night: Perez vs. Taira,Alex Perez vs. Tatsuro Taira,Alex Perez,0.26671766721955,275
2024-06-15,UFC Fight Night: Perez vs. Taira,Alex Perez vs. Tatsuro Taira,Tatsuro Taira,0.7332823327804501,-275
2024-04-06,UFC Fight Night: Allen vs. Curtis 2,Alexander Hernandez vs. Damon Jackson,Alexander Hernandez,0.5078977134132303,-103
2024-04-06,UFC Fight Night: Allen vs. Curtis 2,Alexander Hernandez vs. Damon Jackson,Damon Jackson,0.49210228658676963,103
2024-02-17,UFC 298: Volkanovski vs. Topuria,Alexander Volkanovski vs. Ilia Topuria,Alexander Volkanovski,0.5443466384458618,-119
2024-02-17,UFC 298: Volkanovski vs. Topuria,Alexander Volkanovski vs. Ilia Topuria,Ilia Topuria,0.4556533615541381,119
2024-05-04,UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Alexandre Pantoja,0.4120566604895476,143
2024-05-04,UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Steve Erceg,0.5879433395104524,-143
2024-05-11,UFC Fight Night: Lewis vs. Nascimento,Alonzo Menifield vs. Carlos Ulberg,Alonzo Menifield,0.35483854706427936,182
2024-05-11,UFC Fight Night: Lewis vs. Nascimento,Alonzo Menifield vs. Carlos Ulberg,Carlos Ulberg,0.6451614529357207,-182
2024-03-30,UFC Fight Night: Blanchfield vs. Fiorot,Andre Petroski vs. Jacob Malkoun,Andre Petroski,0.42998227248286597,133
2024-03-30,UFC Fight Night: Blanchfield vs. Fiorot,Andre Petroski vs. Jacob Malkoun,Jacob Malkoun,0.570017727517134,-133
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Andrei Arlovski vs. Martin Buday,Andrei Arlovski,0.2542986150098932,293
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Andrei Arlovski vs. Martin Buday,Martin Buday,0.7457013849901069,-293
2024-01-13,UFC Fight Night: Ankalaev vs. Walker 2,Andrei Arlovski vs. Waldo Cortes-Acosta,Andrei Arlovski,0.2302462562553428,334
2024-01-13,UFC Fight Night: Ankalaev vs. Walker 2,Andrei Arlovski vs. Waldo Cortes-Acosta,Waldo Cortes-Acosta,0.7697537437446571,-334
2024-02-17,UFC 298: Volkanovski vs. Topuria,Anthony Hernandez vs. Roman Kopylov,Anthony Hernandez,0.6043198038939294,-153
2024-02-17,UFC 298: Volkanovski vs. Topuria,Anthony Hernandez vs. Roman Kopylov,Roman Kopylov,0.39568019610607064,153
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Anthony Smith vs. Roman Dolidze,Anthony Smith,0.49847652062690395,101
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Anthony Smith vs. Roman Dolidze,Roman Dolidze,0.5015234793730962,-101
2024-05-04,UFC 301: Pantoja vs. Erceg,Anthony Smith vs. Vitor Petrino,Anthony Smith,0.2872364748537793,248
2024-05-04,UFC 301: Pantoja vs. Erceg,Anthony Smith vs. Vitor Petrino,Vitor Petrino,0.7127635251462207,-248
2024-01-20,UFC 297: Strickland vs. Du Plessis,Arnold Allen vs. Movsar Evloev,Arnold Allen,0.4000364861478703,150
2024-01-20,UFC 297: Strickland vs. Du Plessis,Arnold Allen vs. Movsar Evloev,Movsar Evloev,0.5999635138521296,-150
2024-06-15,UFC Fight Night: Perez vs. Taira,Asu Almabayev vs. Jose Johnson,Asu Almabayev,0.5737261849695076,-135
