event_url,fighter,book_0
https://fightodds.io/mma-events/6161/ufc-fight-night-blanchfield-vs-barber,City,"Las Vegas, Nevada, United States"
https://fightodds.io/mma-events/6161/ufc-fight-night-blanchfield-vs-barber,Venue,UFC Apex
https://fightodds.io/mma-events/6161/ufc-fight-night-blanchfield-vs-barber,Promotion,UFC
https://fightodds.io/mma-events/6161/ufc-fight-night-blanchfield-vs-barber,City,"Las Vegas, Nevada, United States"
https://fightodds.io/mma-events/6161/ufc-fight-night-blanchfield-vs-barber,Venue,UFC Apex
https://fightodds.io/mma-events/6161/ufc-fight-night-blanchfield-vs-barber,Promotion,UFC
https://fightodds.io/mma-events/6161/ufc-fight-night-blanchfield-vs-barber/fights,City,"Las Vegas, Nevada, United States"
https://fightodds.io/mma-events/6161/ufc-fight-night-blanchfield-vs-barber/fights,Venue,UFC Apex
https://fightodds.io/mma-events/6161/ufc-fight-night-blanchfield-vs-barber/fights,Promotion,UFC
https://fightodds.io/mma-events/6161/ufc-fight-night-blanchfield-vs-barber/news,City,"Las Vegas, Nevada, United States"
https://fightodds.io/mma-events/6161/ufc-fight-night-blanchfield-vs-barber/news,Venue,UFC Apex
https://fightodds.io/mma-events/6161/ufc-fight-night-blanchfield-vs-barber/news,Promotion,UFC
https://fightodds.io/mma-events/6193/ufc-fight-night-burns-vs-morales,City,"Lusail, Qatar"
https://fightodds.io/mma-events/6193/ufc-fight-night-burns-vs-morales,Venue,Lusail Sports Arena
https://fightodds.io/mma-events/6193/ufc-fight-night-burns-vs-morales,Promotion,UFC
https://fightodds.io/mma-events/6193/ufc-fight-night-burns-vs-morales,City,"Lusail, Qatar"
https://fightodds.io/mma-events/6193/ufc-fight-night-burns-vs-morales,Venue,Lusail Sports Arena
https://fightodds.io/mma-events/6193/ufc-fight-night-burns-vs-morales,Promotion,UFC
https://fightodds.io/mma-events/6193/ufc-fight-night-burns-vs-morales/fights,City,"Lusail, Qatar"
https://fightodds.io/mma-events/6193/ufc-fight-night-burns-vs-morales/fights,Venue,Lusail Sports Arena
https://fightodds.io/mma-events/6193/ufc-fight-night-burns-vs-morales/fights,Promotion,UFC
https://fightodds.io/mma-events/6193/ufc-fight-night-burns-vs-morales/news,City,"Lusail, Qatar"
https://fightodds.io/mma-events/6193/ufc-fight-night-burns-vs-morales/news,Venue,Lusail Sports Arena
https://fightodds.io/mma-events/6193/ufc-fight-night-burns-vs-morales/news,Promotion,UFC
https://fightodds.io/mma-events/6172/ufc-315-muhammad-vs-della-maddalena,City,"Montreal, Quebec, Canada"
https://fightodds.io/mma-events/6172/ufc-315-muhammad-vs-della-maddalena,Venue,Bell Centre
https://fightodds.io/mma-events/6172/ufc-315-muhammad-vs-della-maddalena,Promotion,UFC
https://fightodds.io/mma-events/6172/ufc-315-muhammad-vs-della-maddalena,City,"Montreal, Quebec, Canada"
https://fightodds.io/mma-events/6172/ufc-315-muhammad-vs-della-maddalena,Venue,Bell Centre
https://fightodds.io/mma-events/6172/ufc-315-muhammad-vs-della-maddalena,Promotion,UFC
https://fightodds.io/mma-events/6172/ufc-315-muhammad-vs-della-maddalena/fights,City,"Montreal, Quebec, Canada"
https://fightodds.io/mma-events/6172/ufc-315-muhammad-vs-della-maddalena/fights,Venue,Bell Centre
https://fightodds.io/mma-events/6172/ufc-315-muhammad-vs-della-maddalena/fights,Promotion,UFC
https://fightodds.io/mma-events/6172/ufc-315-muhammad-vs-della-maddalena/news,City,"Montreal, Quebec, Canada"
https://fightodds.io/mma-events/6172/ufc-315-muhammad-vs-della-maddalena/news,Venue,Bell Centre
https://fightodds.io/mma-events/6172/ufc-315-muhammad-vs-della-maddalena/news,Promotion,UFC
https://fightodds.io/mma-events/6163/ufc-fight-night-sandhagen-vs-figueiredo,City,"Des Moines, Iowa, United States"
https://fightodds.io/mma-events/6163/ufc-fight-night-sandhagen-vs-figueiredo,Venue,Wells Fargo Arena
https://fightodds.io/mma-events/6163/ufc-fight-night-sandhagen-vs-figueiredo,Promotion,UFC
https://fightodds.io/mma-events/6163/ufc-fight-night-sandhagen-vs-figueiredo,City,"Des Moines, Iowa, United States"
https://fightodds.io/mma-events/6163/ufc-fight-night-sandhagen-vs-figueiredo,Venue,Wells Fargo Arena
https://fightodds.io/mma-events/6163/ufc-fight-night-sandhagen-vs-figueiredo,Promotion,UFC
https://fightodds.io/mma-events/6163/ufc-fight-night-sandhagen-vs-figueiredo/fights,City,"Des Moines, Iowa, United States"
https://fightodds.io/mma-events/6163/ufc-fight-night-sandhagen-vs-figueiredo/fights,Venue,Wells Fargo Arena
https://fightodds.io/mma-events/6163/ufc-fight-night-sandhagen-vs-figueiredo/fights,Promotion,UFC
https://fightodds.io/mma-events/6163/ufc-fight-night-sandhagen-vs-figueiredo/news,City,"Des Moines, Iowa, United States"
https://fightodds.io/mma-events/6163/ufc-fight-night-sandhagen-vs-figueiredo/news,Venue,Wells Fargo Arena
https://fightodds.io/mma-events/6163/ufc-fight-night-sandhagen-vs-figueiredo/news,Promotion,UFC
