date,home_team,away_team,outcome,betmgm,betonlineag,betrivers,betus,bovada,draftkings,fanduel,williamhill_us
2025-01-11,Ary Farias,Erick Viscondi,Ary Farias,,,,,100.0,,,
2025-01-11,Ary Farias,Erick Viscondi,Erick Viscondi,,,,,-130.0,,,
2025-01-11,Enkhtur Bayartsogt,Shovkhal Churchaev,Enkhtur Bayartsogt,,,,,-175.0,,,
2025-01-11,Enkhtur Bayartsogt,Shovkhal Churchaev,Shovkhal Churchaev,,,,,135.0,,,
2025-01-11,Fatima Kline,Viktoriya Dudakova,Fatima Kline,,-1000.0,-910.0,-1050.0,-800.0,-850.0,-820.0,-900.0
2025-01-11,Fatima Kline,Viktoriya Dudakova,Viktoriya Dudakova,,700.0,600.0,650.0,525.0,575.0,570.0,600.0
2025-01-11,Jose Johnson,Felipe Bunes,Felipe Bunes,140.0,136.0,143.0,135.0,145.0,142.0,152.0,150.0
2025-01-11,Jose Johnson,Felipe Bunes,Jose Johnson,-165.0,-156.0,-180.0,-165.0,-170.0,-170.0,-180.0,-180.0
2025-01-11,Josh Hokit,John Lopez,John Lopez,,,,,475.0,,,
2025-01-11,Josh Hokit,John Lopez,Josh Hokit,,,,,-800.0,,,
2025-01-11,Larry Gonzales,Billy Ray Valdez,Billy Ray Valdez,,,,,-120.0,,,
2025-01-11,Larry Gonzales,Billy Ray Valdez,Larry Gonzales,,,,,-110.0,,,
2025-01-11,Magomed Gadzhiyasulov,Bruno Lopes,Bruno Lopes,220.0,220.0,230.0,210.0,215.0,215.0,210.0,220.0
2025-01-11,Magomed Gadzhiyasulov,Bruno Lopes,Magomed Gadzhiyasulov,-275.0,-260.0,-295.0,-260.0,-260.0,-265.0,-255.0,-270.0
2025-01-11,Marco Tulio Silva,Ihor Potieria,Ihor Potieria,375.0,350.0,390.0,325.0,345.0,360.0,410.0,375.0
2025-01-11,Marco Tulio Silva,Ihor Potieria,Marco Tulio Silva,-500.0,-450.0,-530.0,-450.0,-470.0,-470.0,-550.0,-500.0
2025-01-11,Nicolle Caliari,Ernesta Kareckaite,Ernesta Kareckaite,-275.0,-260.0,-278.0,-260.0,-270.0,-270.0,-255.0,-275.0
2025-01-11,Nicolle Caliari,Ernesta Kareckaite,Nicolle Caliari,220.0,220.0,215.0,210.0,220.0,220.0,210.0,225.0
2025-01-11,Nurullo Aliev,Joseph Solecki,Joseph Solecki,,500.0,525.0,450.0,495.0,500.0,530.0,500.0
