Fighter 1,Fighter 2,MyBookie_F1,MyBookie_F2,DraftKings_F1,DraftKings_F2,BetUS_F1,BetUS_F2,BetAnySports_F1,BetAnySports_F2,SXBet_F1,SXBet_F2,Circa_F1,Circa_F2,Bet105_F1,Bet105_F2,4casters_F1,4casters_F2,Pinnacle_F1,Pinnacle_F2,Cloudbet_F1,Cloudbet_F2,Bovada_F1,Bovada_F2,FanDuel_F1,FanDuel_F2,Bookmaker_F1,Bookmaker_F2,Jazz_F1,Jazz_F2,BetMGM_F1,BetMGM_F2,Caesars_F1,Caesars_F2,BetRivers_F1,BetRivers_F2,ESPN_F1,ESPN_F2,Betway_F1,Betway_F2,BetOnline_F1,BetOnline_F2
Marvin Vettori,Roman Dolidze,-142,116,200,-270,-150.0,126.0,-145.0,115.0,-153,133,-130.0,110.0,-130.0,115.0,-136.0,131.0,-130.0,115.0,109.0,-146.0,-145,125,180,-235,-147.0,120.0,-153.0,125.0,-150.0,125.0,230.0,-300.0,-162.0,130.0,-150.0,125.0,255.0,-400.0,-138,118
Elizeu Zaleski dos Santos,Chidi Njokuani,-199,160,-130,100,-200.0,166.0,-198.0,168.0,-208,165,-195.0,170.0,-198.0,171.0,-199.0,179.0,-195.0,170.0,-146.0,109.0,-195,165,-172,134,-210.0,169.0,-202.0,164.0,-200.0,165.0,-210.0,175.0,-200.0,160.0,-185.0,155.0,-182.0,130.0,-205,175
Alexander Hernandez,Kurt Holobaugh,-192,155,-160,124,-185.0,154.0,-185.0,155.0,-199,160,-195.0,170.0,-191.0,166.0,-180.0,167.0,-191.0,166.0,-187.0,168.0,-183,158,134,-172,-186.0,150.0,-176.0,144.0,-190.0,155.0,-185.0,155.0,-195.0,155.0,-190.0,160.0,-250.0,175.0,-181,156
Da'Mon Blackshear,Cody Gibson,-481,350,-620,400,-435.0,330.0,-455.0,285.0,-525,344,-435.0,350.0,-495.0,370.0,-427.0,374.0,-503.0,375.0,-476.0,373.0,-480,350,-235,180,-415.0,310.0,-468.0,346.0,-425.0,325.0,-400.0,310.0,-480.0,350.0,-475.0,340.0,-450.0,333.0,-460,360
Diyar Nurgozhay,Brendson Ribeiro,-500,275,-130,100,-450.0,339.0,-450.0,285.0,-426,330,-360.0,295.0,-436.0,334.0,-407.0,350.0,-462.0,350.0,-485.0,293.0,-470,345,-450,310,-428.0,318.0,-459.0,341.0,-450.0,350.0,-440.0,340.0,-455.0,335.0,0.0,0.0,-118.0,-118.0,-400,300
Kevin Vallejos,Seung Woo Choi,-550,300,-425,300,-600.0,425.0,-600.0,370.0,-497,413,-510.0,400.0,-559.0,409.0,-451.0,417.0,-462.0,350.0,-500.0,389.0,-480,350,-600,390,-543.0,386.0,-541.0,391.0,-550.0,400.0,-480.0,360.0,-590.0,425.0,0.0,0.0,-549.0,400.0,-600,425
Waldo Cortes-Acosta,Ryan Spann,-650,350,-620,400,-235.0,194.0,-230.0,190.0,-188,156,-220.0,190.0,-227.0,195.0,-213.0,194.0,-240.0,205.0,-224.0,199.0,-235,195,-700,440,-215.0,172.0,-232.0,186.0,-225.0,185.0,-230.0,190.0,-230.0,180.0,-175.0,145.0,-667.0,375.0,-232,197
Soo Young Yoo,AJ Cunningham,-750,400,-100000,4000,-500.0,369.0,-480.0,300.0,-567,413,-450.0,360.0,-528.0,390.0,-470.0,418.0,-503.0,375.0,-476.0,373.0,-510,370,-700,440,-595.0,416.0,-527.0,383.0,0.0,0.0,-500.0,380.0,-480.0,360.0,-800.0,475.0,-2000.0,700.0,-450,350
Carlos Vera,Josias Musasa,425,-800,500,-810,525.0,-800.0,450.0,-790.0,426,-602,575.0,-800.0,465.0,-659.0,517.0,-622.0,485.0,-698.0,374.0,-714.0,460,-675,480,-800,472.0,-701.0,504.0,-750.0,400.0,-650.0,550.0,-800.0,600.0,-910.0,475.0,-800.0,325.0,-556.0,550,-800
Stephanie Luciano,Sam Hughes,170,-250,100,-130,-168.0,141.0,-165.0,135.0,-176,153,-180.0,155.0,-186.0,162.0,-169.0,153.0,-177.0,155.0,-177.0,151.0,-175,205,200,-270,-163.0,132.0,-175.0,143.0,0.0,0.0,-160.0,135.0,-186.0,150.0,-265.0,215.0,140.0,-200.0,-175,150
André Lima,Daniel Barez,-600,325,-50000,3500,-600.0,425.0,-585.0,360.0,-1043,448,-545.0,420.0,-546.0,400.0,-542.0,427.0,-503.0,375.0,-575.0,327.0,-550,390,-2400,1180,-542.0,386.0,-585.0,417.0,-10000.0,1200.0,-400.0,310.0,-530.0,390.0,-330.0,255.0,-2000.0,700.0,-600,450
Josiane Nunes,Priscila Cachoeira,-166,135,114,-145,-170.0,142.0,-170.0,140.0,-172,155,-175.0,152.0,-193.0,169.0,-165.0,154.0,-156.0,138.0,-168.0,152.0,-165,140,-174,146,-180.0,146.0,-169.0,139.0,-165.0,135.0,-165.0,140.0,-175.0,138.0,-190.0,160.0,-175.0,140.0,-170,145
Yuneisy Duben,Carli Judice,220,-350,240,-330,230.0,-280.0,240.0,-280.0,277,-317,240.0,-285.0,265.0,-320.0,283.0,-326.0,251.0,-300.0,258.0,-299.0,240,-290,235,-320,273.0,-359.0,241.0,-307.0,225.0,-275.0,240.0,-300.0,225.0,-295.0,300.0,-400.0,230.0,-300.0,235,-275
Evan Elder,Marquel Mederos,-160,125,-155,130,0.0,0.0,0.0,0.0,-155,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155,133,-164,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150,130
