fight_id,sport_key,sport_title,commence_time,home_team,away_team,outcome,barstool,betmgm,betonlineag,betrivers,betus,bovada,draftkings,fanduel,lowvig,mybookieag,superbook,twinspires,unibet_us,williamhill_us
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,Daniel James,,-110.0,,,-110.0,,,,-110.0,-109.0,,,-105.0,
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,Gokhan Saricam,,-110.0,,,-120.0,,,,-110.0,-129.0,,,-127.0,
045bb6e8c10afa17c98b078880e251f8,mma_mixed_martial_arts,MMA,2023-06-18T02:15:00Z,Muslim Salikhov,Nicolas Dalby,Muslim Salikhov,-195.0,-190.0,-200.0,-195.0,-200.0,-195.0,-195.0,-188.0,-200.0,-196.0,-190.0,-195.0,-195.0,-190.0
045bb6e8c10afa17c98b078880e251f8,mma_mixed_martial_arts,MMA,2023-06-18T02:15:00Z,Muslim Salikhov,Nicolas Dalby,Nicolas Dalby,155.0,160.0,170.0,155.0,160.0,163.0,165.0,152.0,170.0,152.0,160.0,155.0,155.0,160.0
0492c91fbe10a188573cdeb372d86dfc,mma_mixed_martial_arts,MMA,2023-06-24T16:00:00Z,Neil Magny,Philip Rowe,Neil Magny,-150.0,-150.0,-147.0,-150.0,-150.0,,-150.0,-150.0,-148.0,,,-150.0,-150.0,-150.0
0492c91fbe10a188573cdeb372d86dfc,mma_mixed_martial_arts,MMA,2023-06-24T16:00:00Z,Neil Magny,Philip Rowe,Philip Rowe,120.0,125.0,128.0,120.0,120.0,,130.0,118.0,128.0,,,120.0,120.0,125.0
0542628b097940fa45030f9be619908b,mma_mixed_martial_arts,MMA,2023-07-01T23:15:00Z,Grant Dawson,Damir Ismagulov,Damir Ismagulov,,,-156.0,,-155.0,,-170.0,,-155.0,,,,,
0542628b097940fa45030f9be619908b,mma_mixed_martial_arts,MMA,2023-07-01T23:15:00Z,Grant Dawson,Damir Ismagulov,Grant Dawson,,,135.0,,125.0,,145.0,,135.0,,,,,
05b5941d9119016647c12c74f4e77335,mma_mixed_martial_arts,MMA,2023-06-18T03:30:00Z,Armen Petrosyan,Chris Duncan,Armen Petrosyan,,,120.0,,125.0,125.0,,126.0,120.0,,,,,126.0
05b5941d9119016647c12c74f4e77335,mma_mixed_martial_arts,MMA,2023-06-18T03:30:00Z,Armen Petrosyan,Chris Duncan,Chris Duncan,,,-141.0,,-155.0,-150.0,,-154.0,-140.0,,,,,-150.0
05e2295f9a339fb4f60c9239693d07f4,mma_mixed_martial_arts,MMA,2023-06-18T00:46:00Z,Denys Bondar,Carlos Hernandez,Carlos Hernandez,107.0,110.0,109.0,107.0,100.0,110.0,105.0,100.0,109.0,105.0,105.0,107.0,107.0,110.0
05e2295f9a339fb4f60c9239693d07f4,mma_mixed_martial_arts,MMA,2023-06-18T00:46:00Z,Denys Bondar,Carlos Hernandez,Denys Bondar,-132.0,-135.0,-128.0,-132.0,-130.0,-130.0,-125.0,-122.0,-129.0,-133.0,-125.0,-132.0,-132.0,-130.0
09a28e4b164e545ff115e180eb32c83d,mma_mixed_martial_arts,MMA,2023-06-24T16:00:00Z,Randy Brown,Wellington Turman,Randy Brown,-265.0,-250.0,-238.0,-265.0,-245.0,,-245.0,-280.0,-240.0,,,-265.0,-265.0,-250.0
